Model,R2_Score,MAE,RMSE,Training_Time_s,Training_Mode
Optimized_XGBoost,0.7017395420529902,81527.33181920278,118244.67782490431,4.13172721862793,Full Training (High Accuracy)
Stacked_Ensemble,0.6945959915072719,83543.15495831071,119652.32133531016,23.705093383789062,Ensemble (Super Model)
xgboost,0.0227144667738838,188675.39198124773,998339.1579421216,6.345242023468018,Fast Training (Low Latency)
gradient_boosting,0.0162426469210038,194173.18648144184,1001639.3243434714,1.875046968460083,Fast Training (Low Latency)
lightgbm,-0.0285333493012815,237206.1795720824,1024180.6344304167,1.7773635387420654,Fast Training (Low Latency)
